material_ID,formula_pretty,over_0.5A,over_1.0A,over_1.5A,over_2.0A,over_2.5A,over_3.0A,over_3.5A,over_4.0A,over_4.5A,over_5.0A,over_5.5A,over_6.0A,over_6.5A,M_O_dist,M_O_dist_std,M_O_ang,M_O_ang_std,n_M_O_bond,n_M_O_ang,n_atoms,M2O_ratio,cell_volume,n_density,density
361,Cu2O,0.8842994956418931,0.6741796319820896,0.4643616285358521,0.272101827512043,0.1057013847837297,0.0170802570842818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8388747466770505,2.220446049250313e-16,180.0,0.0,8,4,6,2.0,76.5869082712687,0.07834237124115478,6.207136347324518
390,TiO2,0.870399683419074,0.6351899485555995,0.4051493866244559,0.2381282152750296,0.120869608231104,0.0450633161851998,0.0065542144835773,0.0,0.0,0.0,0.0,0.0,0.0,1.954338591817746,0.026469523687377698,105.41533444541751,30.909233764034187,12,30,6,0.5,68.78397225482972,0.0872296234618626,3.85747169312384
430,TiO2,0.8473675184359458,0.5690031114486611,0.2883929081836816,0.1147397734604045,0.0369780565287339,0.0074805432377032,8.166531918890005e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.027491936294803,0.09640282994283234,101.81332740744232,29.670356401690828,28,84,12,0.5,116.4513251189871,0.10304734607131946,4.556963617932408
458,Ti2O3,0.8574906085649887,0.5965860255447032,0.3284207362885049,0.1482494365138993,0.0458181818181818,0.0089135987978963,0.0018692712246431,0.0001622839969947,0.0,0.0,0.0,0.0,0.0,2.0410808925513693,0.026327996567098375,105.8949604858245,32.48098091151227,24,60,10,0.6666666666666666,103.7211155286214,0.09641238381436944,4.603803434559181
748,Ti5O9,0.8600344304388422,0.6052200046685341,0.3476161297852474,0.1612599206349206,0.0506360877684407,0.0097864145658263,0.0011554621848739,0.0,0.0,0.0,0.0,0.0,0.0,2.003949384534248,0.08696529799952792,105.50037912651554,32.792311441321615,60,150,28,0.5555555555555556,296.2867131326208,0.09450305652912262,4.298229549962325
1147,Ti3O5,0.8638174350739586,0.6151581591164088,0.3636475928728036,0.1877734202101925,0.0787964878691494,0.0217809756147773,0.0028101164191087,0.0,0.0,0.0,0.0,0.0,0.0,2.0171341300762644,0.08368008266450398,105.5931484080284,32.36765182277258,36,90,16,0.6,173.76464249467233,0.09207857116553826,4.275000041181416
1203,TiO,0.8624523255629936,0.6100349744417541,0.3381680355758122,0.1468056149013277,0.0439079586636914,0.0088227381348019,0.0016062922344078,0.0001819937014353,0.0,0.0,0.0,0.0,0.0,2.087722988762249,0.04333231570536946,106.80390341755067,35.20383874625797,24,46,10,1.0,107.45292722857165,0.09306400726271706,4.9365663520271506
1215,Ti2O,0.8797052154195011,0.6542630385487528,0.3951700680272109,0.1808843537414966,0.0482086167800453,0.0082993197278911,0.0009523809523809,4.5351473922902495e-05,0.0,0.0,0.0,0.0,0.0,2.1455705350519114,1.1490501836483687e-06,87.00931502521006,1.413498404750161e-05,6,6,3,2.0,36.44456112809412,0.08231680961819517,5.092748665044187
1439,TiO2,0.8547826086956521,0.5932919254658385,0.3322981366459627,0.1368012422360248,0.031055900621118,0.0056521739130434,0.0004347826086956,0.0,0.0,0.0,0.0,0.0,0.0,1.9730950899709017,0.0849318567650614,104.70392620769776,31.097159441056146,24,60,12,0.5,123.16487505448308,0.0974303752972728,4.308569724870816
1456,Fe2O3,0.8725873783126014,0.6402193753380205,0.4001360532720389,0.2196330786911844,0.0971471065440778,0.0270796714440237,0.0043414514602487,0.0009549080584099,0.0001183071930773,0.0,0.0,0.0,0.0,2.0210737895594812,0.08025594880018155,106.69533884517129,29.603583800430513,336,744,160,0.6666666666666666,1860.0826885883926,0.08601768135449032,4.5634237483237605
1478,Cu4O3,0.8749748467941095,0.6489618585932498,0.4277691393030275,0.2453489435653526,0.1035946217872496,0.0218695691941827,0.0010518613372358,0.0,0.0,0.0,0.0,0.0,0.0,1.9051964680469655,0.06062788691173761,128.57142857142858,44.80662488016111,24,28,14,1.3333333333333333,165.84962311746813,0.0844138185956809,6.053215974623031
1692,CuO,0.861474435196195,0.6109027714259581,0.3710326534345559,0.1913244306228848,0.0701774444342815,0.0130568005122107,0.0006859965242842,0.0,0.0,0.0,0.0,0.0,0.0,1.9358859685557486,0.0005940004801055779,119.99184152355728,42.70619914545351,8,12,4,1.0,42.91644874355269,0.09320435677010477,6.157757939599654
1840,TiO2,0.8627394344785649,0.6125114016418364,0.36568865916692,0.1827987230161143,0.0656354515050167,0.0116220735785953,6.080875646093037e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9625908636829041,0.058449715972059176,105.13117229161237,31.18345598624646,48,120,24,0.5,258.44602277752557,0.09286271749153431,4.106578589402763
2591,Ti3O,0.8905636873248209,0.6911554033011523,0.4547415135471815,0.2401782933665524,0.0797531921519775,0.0167276549361569,0.0030987231392089,0.0002686079103083,0.0,0.0,0.0,0.0,0.0,2.115292547535129,0.0016371665861299768,89.02964121139168,0.0037688057909395782,24,12,16,3.0,216.74345133600266,0.07381999272123929,4.89272044780307
2657,TiO2,0.857923365890308,0.5987017280240421,0.3448174305033809,0.1541637866265965,0.0418151765589782,0.0013944402704733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9610872756146251,0.013195909210519085,107.9901440436825,36.25277335788503,24,60,12,0.5,125.22506013556851,0.09582746446285442,4.237685741597935
2664,TiO,0.8503910577019905,0.5784968614682287,0.2732368836225706,0.0900943237890638,0.0158437111879426,0.0010741499110469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1446849999999995,4.440892098500626e-16,108.0,36.0,6,15,2,1.0,19.729702589713234,0.10137000245724787,5.377156625360956
8057,Ti3O5,0.8714775323686215,0.6370104621798213,0.398640117048142,0.2314356435643564,0.1263729105704092,0.0602126508197378,0.0242313705054716,0.008753557541989,0.0027307892732593,0.0005411472321321,2.004249007896741e-05,0.0,0.0,2.029918986324742,0.11188885954827425,104.70047131764242,30.293695563670703,36,90,16,0.6,185.54518943603148,0.08623236230824598,4.003573771319472
9173,TiO2,0.8700179018976012,0.6335696383816685,0.4003580379520229,0.2243609022556391,0.102141066953097,0.0320802005012531,0.0028643036161833,0.0,0.0,0.0,0.0,0.0,0.0,1.9687618461038543,0.06596692183053907,105.95704406067695,32.74694447786688,24,60,12,0.5,136.94722939734157,0.08762499287359037,3.8749557341358227
10734,Ti4O5,0.8527666244012397,0.5846805438151592,0.3026468723584108,0.123230135249366,0.0367445054945054,0.0071763172724711,0.0014704846435615,0.0001144688644688,0.0,0.0,0.0,0.0,0.0,2.0834957901403257,0.03900262485485261,106.31973544444402,33.18004478951132,24,60,9,0.8,90.73767653519478,0.09918702289571119,4.969657954289119
12205,Ti4O7,0.8601367630385488,0.6048142636684304,0.3473107993197279,0.1619031872008062,0.052116795792391,0.0106548406399596,0.0015038422776518,1.9683799445704207e-05,0.0,0.0,0.0,0.0,0.0,2.009816483556888,0.08104345539317995,105.29877800592931,32.31328057830998,96,240,44,0.5714285714285714,465.56789642970864,0.0945082346472382,4.330951886784284
13869,Cr5O12,0.8840290587779828,0.6810320876318007,0.4736785771219057,0.2869486005784427,0.1352326296372207,0.0432556762542415,0.0081346359682084,0.000589829427706,4.55466739541345e-06,0.0,0.0,0.0,0.0,1.847300869839945,0.17814840404989685,107.89213191115594,27.044570952176766,96,192,68,0.4166666666666667,868.7530188292961,0.07827310930284263,3.4568048334363004
14549,CuO,0.8427407407407408,0.5571111111111111,0.2578518518518518,0.0774074074074074,0.0112592592592592,0.0004444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11656,0.0,108.0,36.0,6,15,2,1.0,18.96364202597684,0.10546497330314258,6.967783472922322
18731,Fe3O4,0.8564685980432363,0.5938067549358487,0.308853037670631,0.1128397972933388,0.021039603960396,0.000395453746558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1189263033047028,0.10084959747751533,105.30003570820385,31.649142932120267,36,90,14,0.75,144.45537350572627,0.09691574401311581,5.324869275534107
18748,Co3O4,0.8409389123778976,0.5529420658448213,0.2994983611691587,0.1339791460800354,0.0390457522692542,0.0025540922173084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.915137265436337,0.005052381969130448,108.24498261465992,33.2881337415806,32,72,14,0.75,130.21434052448748,0.10751503976911995,6.1435889893700155
18759,Mn3O4,0.8663250476567955,0.6237000547345375,0.3763943151576921,0.1983277655096917,0.0821018062397372,0.0182039522110865,0.0005756563426004,0.0,0.0,0.0,0.0,0.0,0.0,2.0416114173703965,0.14808519817542262,108.25325071372681,33.2131395204099,32,72,14,0.75,155.5144237875321,0.0900238039599926,4.888074652132396
18896,V6O13,0.8704645822292881,0.6393305069775658,0.4147014661720544,0.2437908496732026,0.1310899134428546,0.0688350114820703,0.0362215156332803,0.0195062709768592,0.0097023494082317,0.0041247129482423,0.0012630277336159,0.0001678148736972,0.0,1.9273436120415373,0.16345726748522915,104.47843011203072,31.765350301226853,72,180,38,0.46153846153846156,434.35900278242576,0.0874852363058641,3.928643931710767
18905,FeO,0.8534162610420047,0.5767982693347755,0.2683252208400937,0.0849468180998738,0.0155759870200108,0.001153776816297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1312141166666665,0.0014504822476929641,108.0,36.0,12,30,4,1.0,38.72049868370149,0.10330445464235997,6.164290065885141
18922,Mn5O8,0.8580049261083744,0.6004926108374384,0.3452263664086324,0.1692352803190241,0.0686371100164203,0.0220736570490265,0.0033192587379779,3.518648838845883e-05,0.0,0.0,0.0,0.0,0.0,2.0133330081870837,0.13831704318783714,105.23811070690903,31.709864533637678,30,75,13,0.625,135.65833629201595,0.09582898003419715,4.930821024550293
18937,V2O3,0.8524273880675265,0.5834609066442976,0.3148229701862919,0.1368424731746531,0.039628115060641,0.0076474083394498,0.0014889378211177,6.291286568103177e-05,0.0,0.0,0.0,0.0,0.0,2.0216984329226753,0.049640441569282046,105.35126530946461,31.77128148739575,24,60,10,0.6666666666666666,100.55809695231142,0.09944500048307787,4.9517993745528885
19006,MnO,0.8649680397727273,0.6194069602272727,0.3264382102272727,0.1281427556818181,0.0321732954545454,0.005078125,7.102272727272727e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.223907702768852,0.00019580206706482325,107.99999995975274,36.000000420915484,12,30,4,1.0,43.995702284807535,0.0909179713533353,5.356684496587664
19009,NiO,0.8391851851851851,0.5482222222222223,0.2374074074074074,0.0649629629629629,0.0112592592592592,0.0004444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093168793710809,1.7122393676679815e-06,107.99997391701362,35.99994783415782,6,15,2,1.0,18.34183362776642,0.10904035226730766,6.7644867039449705
19079,CoO,0.8450132073961418,0.5618546385976146,0.2590050428239814,0.0808252621468022,0.0156487633074521,0.0008804930761226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123729938217499,2.979651151290147e-06,107.99999991950544,36.0009195907767,12,30,4,1.0,38.31257810465772,0.10440435485895203,6.497696942102154
19091,CrO,0.86749267578125,0.61309814453125,0.3267822265625,0.1304931640625,0.03204345703125,0.00518798828125,6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.225498,0.0,108.0,36.0,6,15,2,1.0,22.045077028600414,0.0907232030718368,5.123525077134173
19094,VO2,0.8572321483017257,0.5953564241722056,0.3369565217391304,0.1438197451064089,0.0358253552045856,0.000304896640039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961352230269278,0.036558605659228395,107.99999994308176,36.368089981561525,12,30,6,0.5,61.847604325073625,0.09701265013376664,4.455276413119935
19128,CoO,0.8716465212264151,0.639427329009434,0.4091428360849056,0.2378943101415094,0.1135207841981132,0.0335900648584905,0.0049565153301886,0.0003132370283018,0.0,0.0,0.0,0.0,0.0,1.9592489289776873,0.019761263976965093,109.46202798002759,1.0130116069760027,8,12,4,1.0,46.30051749653841,0.08639212294547365,5.376689831021786
19177,CrO2,0.8425185185185186,0.5584691358024692,0.298716049382716,0.1130534979423868,0.0186995884773662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9003946814640515,0.008859046262631417,107.99995691589848,36.343896355185514,12,30,6,0.5,56.64882570127859,0.10591569949992057,4.925959725247136
19184,VO,0.8581146182602999,0.5988168189000656,0.3007091378579412,0.1093575365167456,0.0252823062396423,0.0027363471692295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1863576944185645,3.5679504736473536e-06,107.99999995975273,36.000223733036336,12,30,4,1.0,41.804172700848774,0.09568422818994779,5.3199318266306435
